script,letter,global_index,canonical_index,canonical_glyph,code_point,instruction_image,output_image
Armenian,Ա,133,133,⠖,U+0531,Armenian_U+0531_instruction.png,Armenian_U+0531_output.png
Armenian,Բ,134,134,⠗,U+0532,Armenian_U+0532_instruction.png,Armenian_U+0532_output.png
Armenian,Գ,135,135,⠘,U+0533,Armenian_U+0533_instruction.png,Armenian_U+0533_output.png
Armenian,Դ,136,136,⠙,U+0534,Armenian_U+0534_instruction.png,Armenian_U+0534_output.png
Armenian,Ե,137,137,⠚,U+0535,Armenian_U+0535_instruction.png,Armenian_U+0535_output.png
Armenian,Զ,138,138,⠛,U+0536,Armenian_U+0536_instruction.png,Armenian_U+0536_output.png
Armenian,Է,139,139,⠜,U+0537,Armenian_U+0537_instruction.png,Armenian_U+0537_output.png
Armenian,Ը,140,140,⠝,U+0538,Armenian_U+0538_instruction.png,Armenian_U+0538_output.png
Armenian,Թ,141,141,⠞,U+0539,Armenian_U+0539_instruction.png,Armenian_U+0539_output.png
Armenian,Ժ,142,142,⠟,U+053A,Armenian_U+053A_instruction.png,Armenian_U+053A_output.png
Armenian,Ի,143,143,⠠,U+053B,Armenian_U+053B_instruction.png,Armenian_U+053B_output.png
Armenian,Լ,144,144,⠡,U+053C,Armenian_U+053C_instruction.png,Armenian_U+053C_output.png
Armenian,Խ,145,145,⠢,U+053D,Armenian_U+053D_instruction.png,Armenian_U+053D_output.png
Armenian,Ծ,146,146,⠣,U+053E,Armenian_U+053E_instruction.png,Armenian_U+053E_output.png
Armenian,Կ,147,147,⠤,U+053F,Armenian_U+053F_instruction.png,Armenian_U+053F_output.png
Armenian,Հ,148,148,⠥,U+0540,Armenian_U+0540_instruction.png,Armenian_U+0540_output.png
Armenian,Ձ,149,149,⠦,U+0541,Armenian_U+0541_instruction.png,Armenian_U+0541_output.png
Armenian,Ղ,150,150,⠧,U+0542,Armenian_U+0542_instruction.png,Armenian_U+0542_output.png
Armenian,Ճ,151,151,⠨,U+0543,Armenian_U+0543_instruction.png,Armenian_U+0543_output.png
Armenian,Մ,152,152,⠩,U+0544,Armenian_U+0544_instruction.png,Armenian_U+0544_output.png
Armenian,Յ,153,153,⠪,U+0545,Armenian_U+0545_instruction.png,Armenian_U+0545_output.png
Armenian,Ն,154,154,⠫,U+0546,Armenian_U+0546_instruction.png,Armenian_U+0546_output.png
Armenian,Շ,155,155,⠬,U+0547,Armenian_U+0547_instruction.png,Armenian_U+0547_output.png
Armenian,Ո,156,156,⠭,U+0548,Armenian_U+0548_instruction.png,Armenian_U+0548_output.png
Armenian,Չ,157,157,⠮,U+0549,Armenian_U+0549_instruction.png,Armenian_U+0549_output.png
Armenian,Պ,158,158,⠯,U+054A,Armenian_U+054A_instruction.png,Armenian_U+054A_output.png
Armenian,Ջ,159,159,⠰,U+054B,Armenian_U+054B_instruction.png,Armenian_U+054B_output.png
Armenian,Ռ,160,160,⠱,U+054C,Armenian_U+054C_instruction.png,Armenian_U+054C_output.png
Armenian,Ս,161,161,⠲,U+054D,Armenian_U+054D_instruction.png,Armenian_U+054D_output.png
Armenian,Վ,162,162,⠳,U+054E,Armenian_U+054E_instruction.png,Armenian_U+054E_output.png
Armenian,Տ,163,163,⠴,U+054F,Armenian_U+054F_instruction.png,Armenian_U+054F_output.png
Armenian,Ր,164,164,⠵,U+0550,Armenian_U+0550_instruction.png,Armenian_U+0550_output.png
Armenian,Ց,165,165,⠶,U+0551,Armenian_U+0551_instruction.png,Armenian_U+0551_output.png
Armenian,Ւ,166,166,⠷,U+0552,Armenian_U+0552_instruction.png,Armenian_U+0552_output.png
Armenian,Փ,167,167,⠸,U+0553,Armenian_U+0553_instruction.png,Armenian_U+0553_output.png
Armenian,Ք,168,168,⠹,U+0554,Armenian_U+0554_instruction.png,Armenian_U+0554_output.png
Armenian,Օ,169,169,⠺,U+0555,Armenian_U+0555_instruction.png,Armenian_U+0555_output.png
Armenian,Ֆ,170,170,⠻,U+0556,Armenian_U+0556_instruction.png,Armenian_U+0556_output.png
Georgian,ა,171,171,⠼,U+10D0,Georgian_U+10D0_instruction.png,Georgian_U+10D0_output.png
Georgian,ბ,172,172,⠽,U+10D1,Georgian_U+10D1_instruction.png,Georgian_U+10D1_output.png
Georgian,გ,173,173,⠾,U+10D2,Georgian_U+10D2_instruction.png,Georgian_U+10D2_output.png
Georgian,დ,174,174,⠿,U+10D3,Georgian_U+10D3_instruction.png,Georgian_U+10D3_output.png
Georgian,ე,175,175,⡀,U+10D4,Georgian_U+10D4_instruction.png,Georgian_U+10D4_output.png
Georgian,ვ,176,176,⡁,U+10D5,Georgian_U+10D5_instruction.png,Georgian_U+10D5_output.png
Georgian,ზ,177,177,⡂,U+10D6,Georgian_U+10D6_instruction.png,Georgian_U+10D6_output.png
Georgian,თ,178,178,⡃,U+10D7,Georgian_U+10D7_instruction.png,Georgian_U+10D7_output.png
Georgian,ი,179,179,⡄,U+10D8,Georgian_U+10D8_instruction.png,Georgian_U+10D8_output.png
Georgian,კ,180,180,⡅,U+10D9,Georgian_U+10D9_instruction.png,Georgian_U+10D9_output.png
Georgian,ლ,181,181,⡆,U+10DA,Georgian_U+10DA_instruction.png,Georgian_U+10DA_output.png
Georgian,მ,182,182,⡇,U+10DB,Georgian_U+10DB_instruction.png,Georgian_U+10DB_output.png
Georgian,ნ,183,183,⡈,U+10DC,Georgian_U+10DC_instruction.png,Georgian_U+10DC_output.png
Georgian,ო,184,184,⡉,U+10DD,Georgian_U+10DD_instruction.png,Georgian_U+10DD_output.png
Georgian,პ,185,185,⡊,U+10DE,Georgian_U+10DE_instruction.png,Georgian_U+10DE_output.png
Georgian,ჟ,186,186,⡋,U+10DF,Georgian_U+10DF_instruction.png,Georgian_U+10DF_output.png
